title,price_jd,brand,model_name,storage_gb,color_actual,condition,series,phone_age_months
متوفر الأن جديد ايفون 17 برو ماكس // Apple iPhone 17 pro max 512G new,1075.0,Apple,ايفون 17 برو ماكس,512.0,برتقالي,جديد,Apple-iPhone-17,
Samsung S26 Plus (256GB/512GB/1TB) جالاكسي S26 بلس جديد كفالة BMS,750.0,Samsung,جالاكسي S26 الترا,512.0,أسود,جديد,Samsung-Galaxy-S26,
iphone 14 (128GB) ايفون 14 جديد كفالة لمدة 12 شهر,370.0,Apple,ايفون 14,128.0,بنفسجي,جديد,Apple-iPhone-14,
Samsung S25 Ultra 1TB BMS  جالاكسي S25 الترا 1 تيرا جديد كفالة BMS,775.0,Samsung,جالاكسي S25 الترا,1024.0,أسود,جديد,Samsung-Galaxy-S25,
IPHONE 13 PRO MAX ( 256GB ) USED /// ايفون 13 برو ماكس ذاكره 256 مستعمل وكاله,359.0,Apple,ايفون 13 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-13,
IPHONE 13 ( 256GB ) USED /// ايفون 13 ذاكره 256 مستعمل وكاله,270.0,Apple,ايفون 13,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-13,
آيفون 13 برو جديد بسعة 256 جيجابايت بلون أزرق ذهبي اسود ابيض,415.0,Apple,ايفون 13 برو,256.0,أزرق,جديد,Apple-iPhone-13,
iPhone 17 pro max اقل سعر في المملكة,949.0,Apple,ايفون 17 برو ماكس,256.0,أبيض,جديد,Apple-iPhone-17,
IPHONE 15 PRO ( 1-TB ) USED /// ايفون 15 برو ذاكرة 1 تيرا مستعمل وكاله,466.0,Apple,ايفون 15 برو,1024.0,أسود,مستعمل - ممتاز,Apple-iPhone-15,
SAMSUNG S25 FE (8RAM) (256-GB) NEW / سامسونج اس  اف اي 256 جيجا جديد كفاله الوكيل,388.0,Samsung,جالاكسي S25 FE,256.0,أسود,جديد,Samsung-Galaxy-S25,
HONOR X9D 5G (8+8) (256-GB) NEW / هونور اكس 9 دي جديد كفاله الوكيل الرسمي,239.0,Honor,هونور X9 5G,256.0,لؤلؤي,جديد,Honor-Other,
IPHONE 17 pro max 256gb e sim new // ايفون 17 برو ماكس 256 جيجا شريكة الكترونية,969.0,Apple,ايفون 17 برو ماكس,256.0,برتقالي,جديد,Apple-iPhone-17,
IPHONE 17 e sim new without box  // ايفون 17 برو ماكس 256 جيجا جديد بدون كرتونة ( شريحة الكترونية ),549.0,Apple,ايفون 17,256.0,أسود,جديد,Apple-iPhone-17,
HONOR X9D (12-RAM) (256GB) NEW / هونور اكس 9 دي 12 رام 256 جيجا جديد كفاله الوكيل الرسمي,266.0,Honor,هونور X9 5G,256.0,رمادي,جديد,Honor-Other,
SAMSUNG S25 ULTRA (12-RAM) (256GB) NEW / سامسونج اس 25 الترا كفاله فليك موبايل 5 سنوات,629.0,Samsung,جالاكسي S25 الترا,256.0,أسود,جديد,Samsung-Galaxy-S25,
IPHONE 15 PRO MAX ( 256GB ) USED ///ايفون 15 برو ماكس ذاكرة 256 مستعمل وكاله,485.0,Apple,ايفون 15 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-15,
السعر الأقوى جديد ايباد 11 متوفر بعدة ألوان // ipad 11 128GB new A16,249.0,Apple,,128.0,11 انش,جديد,Apple-iPhone-11,
متوفر الأن جديد هونور اكس 8 دي // HONOR X8D 256G NEW,158.0,Honor,,256.0,فضي,جديد,Honor-Other,
Apple iPad Pro M5 13inch 512GB NEW ايباد برو ام 5 (13 انش) 512 جيجا,999.0,Apple,ايباد برو 13,512.0,12.9 انش,جديد,Apple-iPhone-13,
Samsung Galaxy S25 FE NEW جديد سامسونج بسعر مميز S25 FE,329.0,Samsung,جالاكسي S25 FE,128.0,أسود,جديد,Samsung-Galaxy-S25,
IPHONE 14 ( 128GB ) USED /// ايفون 14 ذاكره 128 مستعمل وكاله,268.0,Apple,ايفون 14,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
IPHONE 14 PLUS ( 128GB ) USED /// ايفون 14 بلس ذاكره 128 مستعمل وكاله,268.0,Apple,ايفون 14 بلس,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
SAMSUNG S25 Ultra 512GB كفاله الوكيل الرسمي اقل سعر بالمملكه جلاكسي s25 ultra,700.0,Samsung,جالاكسي S25 الترا,512.0,رمادي,جديد,Samsung-Galaxy-S25,
Google pixel 10 pro xl جوجل بيكسل 10 برو اكس ال مشفر,466.0,Google,بيكسل 10 برو XL,256.0,أسود,مستعمل - ممتاز,Google-Other,
iPhone 13pro 128gb Used مستعمل,315.0,Apple,ايفون 13 برو,128.0,ذهبي,مستعمل - ممتاز,Apple-iPhone-13,
IPHONE 15 PRO MAX ( 512GB ) USED /// ايفون 15 برو ماكس ذاكرة 512 مستعمل وكاله,519.0,Apple,ايفون 15 برو ماكس,512.0,أسود,جديد,Apple-iPhone-15,
Ip 16 pro 128g  كفالة ابل شغاله +كفاله 14 يوم من المحل بحالة الوكاله  بطاريات 97%-100%,560.0,Apple,ايفون 16 برو,128.0,أبيض,مستعمل - ممتاز,Apple-iPhone-16,
اقرا التفاصيل داخل الاعلان Honor Pad 10 8GB-256GB جديد مترفر لدى سبيد سيل,269.0,Honor,,256.0,12 انش,جديد,Honor-Other,
11 pro 256 gb سعررر حررق  بطاريات 90-93 كفاله اسبوعين تبديل او ترجيع,215.0,Apple,ايفون 11 برو,256.0,أخضر,مستعمل - جيد,Apple-iPhone-11,
iphone 14 pro max (256GB) ايفون 14 برو ماكس جديد كفالة لمدة 12 شهر,580.0,Apple,ايفون 14 برو ماكس,256.0,بنفسجي,جديد,Apple-iPhone-14,
Ip 17 pro 256g مستعمل بحالة الجديد,830.0,Apple,ايفون 11 برو,256.0,أزرق,مستعمل - ممتاز,Apple-iPhone-17,
Samsung S26Ultra (512GB) New  جالاكسي S26 الترا جديد شرق اوسط كفالة لمدة 12 شهر,940.0,Samsung,جالاكسي S26 الترا,512.0,أزرق,جديد,Samsung-Galaxy-S26,
Ip 15 pro 256g 90%-89%مكفول شهر مش مفتوح ولا مصلح وكاله بحالة الجديد,445.0,Apple,ايفون 15 برو,256.0,فضي,مستعمل - ممتاز,Apple-iPhone-15,
iphone 13 pro max (256GB) ايفون 13 برو ماكس جديد كفالة لمدة 12 شهر,510.0,Apple,ايفون 13 برو ماكس,256.0,أزرق,جديد,Apple-iPhone-13,
Ip 15 pro max 256g مستعمل شبه جديد  بطاريه 88%-90% مكفول 14 يوم في حال عطل مصنعي,509.0,Apple,ايفون 15 برو ماكس,256.0,أزرق,مستعمل - ممتاز,Apple-iPhone-15,
I phone 13 pro max 128gb  used مستعمل  البطاريات من 81-100% كفالة اسبوعين من المحل,360.0,Apple,ايفون 13 برو ماكس,128.0,رمادي,مستعمل - ممتاز,Apple-iPhone-13,
IPHONE 15 ( 128GB ) USED /// ايفون 15 ذاكره 128 مستعمل وكاله,328.0,Apple,ايفون 15,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-15,
شاومي الجديد احجز الان MI 17T 5G محترف التصوير لدى سبيد سيل,419.0,Xiaomi,14T,256.0,أسود,جديد,Xiaomi-Other,
Ipad 11 128g  جديد مسكر بالكرتونه  متوفر جميع الالون,263.0,Apple,ايباد,128.0,10.9 انش,جديد,Apple-iPhone-11,
samsung S25 Ultra (256GB) BMS  جالاكسي S25 الترا جديد كفالة BMS,665.0,Samsung,جالاكسي S25 الترا,256.0,رمادي,جديد,Samsung-Galaxy-S25,
iphone 13 (128GB) جديد  ايفون 13 جديد كفالة شرق اوسط,345.0,Apple,ايفون 13,128.0,ذهبي وردي,جديد,Apple-iPhone-13,
Honor X9d 5G بطارية 8300    كفالة الوكيل الرسمي في الاردن,230.0,Honor,X9b هونور,256.0,خمري,جديد,Honor-Other,
متوفر الأن مستخدم ايفون 13 برو ماكس // IPHONE 13 PRO MAX 512G UESD,389.0,Apple,ايفون 13 برو ماكس,512.0,أزرق,مستعمل - ممتاز,Apple-iPhone-13,
جديد الان ايفون 14 بافضل سعر//IPHONE 14 (128GB) NEW,373.0,Apple,ايفون 14,128.0,أسود,جديد,Apple-iPhone-14,
IPHONE 15 PRO MAX ( 1-TB ) USED ///ايفون 15 برو ماكس ذاكرة 1 تيرا مستعمل وكاله,545.0,Apple,ايفون 15 برو ماكس,1024.0,أسود,مستعمل - ممتاز,Apple-iPhone-15,
مستعمل بحالة الجديد Galaxy S25 Ultra 256GB شرق اوسط متوفر لدى سبيد سيل,575.0,Samsung,جالاكسي S25 الترا,256.0,أسود,مستعمل - ممتاز,Samsung-Galaxy-S25,
مستعمل بطارية 95%   iPhone 16 Plus 128GB لدى سبيد سيل,525.0,Apple,ايفون 16 بلس,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
متوفر الأن بسعر مميز ايفون 14 بلس مستعمل  /// iPhone14 plus 128GB uesd,285.0,Apple,ايفون 14 بلس,128.0,أزرق,مستعمل - ممتاز,Apple-iPhone-14,
IPHONE 16 PRO MAX ( 256GB ) USED /// ايفون 16 برو ماكس ذاكرة 256 مستعمل وكاله,618.0,Apple,ايفون 16 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
متوفر الأن مستخدم بحالة الجديد ايفون 13 برو // iPhone 13 pro 128G uesd,305.0,Apple,ايفون 13 برو,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-13,
جديد الأن هونور اكس 7 دي فايف جي /// Honor x7d 5G new,127.0,Honor,,256.0,رمادي,جديد,Honor-Other,
iphone 17 pro max 256GB New,890.0,Apple,ايفون 17 برو ماكس,256.0,برتقالي,جديد,Apple-iPhone-17,
مستخدم بحالة الجديد ايفون 13 برو ماكس /// iPhone 13 pro max 256g,359.0,Apple,ايفون 13 برو ماكس,256.0,أزرق,مستعمل - ممتاز,Apple-iPhone-13,
متوفر الان جديد اوبو اي 5 بسعر مميز // oppo A5  8+8Ram 256G new,129.0,OPPO,A5,256.0,أبيض,جديد,OPPO-Other,
متوفر الآن جديد اوبو اي 6 اكس /// oppo A6x 256G new,113.0,OPPO,,256.0,أسود,جديد,OPPO-Other,
Ip 14 pro max 256g بطاريات من82-100 مكفولين كفاله خطيه,359.0,Apple,ايفون 14 برو ماكس,256.0,بنفسجي,مستعمل - ممتاز,Apple-iPhone-14,
iPhone 16promax 256g used battery بطاريات من 92%-100%مستعمل بحالة الوكالة كفالة شركة شغالة لشهر 8,669.0,Apple,ايفون 16 برو ماكس,256.0,ذهبي,مستعمل - ممتاز,Apple-iPhone-16,
12 pro max 256g,270.0,Apple,ايفون 12 برو ماكس,256.0,أزرق,مستعمل - جيد,Apple-iPhone-12,
ipad pro 13  m4 wifi + cellular,580.0,Apple,ايباد برو 13,256.0,13.3 انش,مستعمل - ممتاز,Apple-iPhone-13,
وصلت أحدث سلسلة HONOR 600 الرسمية بكافة نسخها  متوفرة الآن بأفضل الأسعار والهدايا!,319.0,Honor,,256.0,برتقالي,جديد,Honor-Other,
IPHONE 15 PRO ( 256GB ) USED /// ايفون 15 برو ذاكره 256 مستعمل وكاله,425.0,Apple,ايفون 15 برو,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-15,
IPHONE 16 PRO MAX ( 512GB ) USED /// ايفون16  برو ماكس ذاكرة 512 مستعمل وكاله,665.0,Apple,ايفون 16 برو ماكس,512.0,أسود,جديد,Apple-iPhone-16,
مستعمل وكالة ايفون 14 برو ماكس بافضل سعر//IPHONE 14 PRO MAX USED,384.0,Apple,ايفون 14 برو ماكس,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
اكس اس ماكس,110.0,Apple,ايفون XS ماكس,64.0,ذهبي وردي,مستعمل - ممتاز,Apple-iPhone-XS,
IPHONE 16 ( 128GB ) USED /// ايفون 16 ذاكره 128 مستعمل وكاله,425.0,Apple,ايفون 16,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
APPLE IPAD 11 ( A16 ) ( 128GB ) NEW // ابل ايباد 11 ذاكره 128 الجديد كلياً,270.0,Apple,ايباد,128.0,11 انش,جديد,Apple-iPhone-11,
هاتف 16 عادي,400.0,Apple,ايفون 16,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
جهاز مشغل ايام  بالكرتونة Honer X9D 5G  رام 16 و 24 جيجا 256 مكفول بالشركة متوفر توصيل وهدايا,200.0,Honor,,256.0,خمري,مستعمل - ممتاز,Honor-Other,
شاومي الجديد الحجز متاح الان Mi 17T pro 5G 512GB لدى سبيد سيل ستور,599.0,Xiaomi,14T برو,512.0,أسود,جديد,Xiaomi-Other,
SAMSUNG A16 AVAILABLE ALL STORGE NEW / سامسونج اي 16 متوفر 3 نسخ الجديد كلياً,96.0,Samsung,جالاكسي A16,128.0,أسود,جديد,Samsung-Galaxy-A16,
IPHONE 16 PRO MAX ( 512GB ) NEW / ايفون 16 برو ماكس ذاكره 512 جيجا الجديد,950.0,Apple,ايفون 16 برو ماكس,512.0,أسود,جديد,Apple-iPhone-16,
IPHONE 15 PLUS ( 256GB ) USED /// ايفون 15 بلس ذاكره 256 مستعمل وكاله,415.0,Apple,ايفون 15 بلس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-15,
IPHONE 14 PRO ( 256GB ) USED /// ايفون 14 برو ذاكرة 256 مستعمل وكاله,325.0,Apple,ايفون 14 برو,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
IPHONE 16 PRO MAX ( 1-TB ) USED /// ايفون 16 برو ماكس ذاكرة 1 تيرا مستعمل وكاله,689.0,Apple,ايفون 16 برو ماكس,1024.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
جهاز جديد Otetto 25 Altra رام 8 جيجا 64 مكفول سنة متوفر توصيل وهدايا,65.0,Samsung,جالاكسي S25 الترا,64.0,أسود,جديد,Samsung-Other,
جالاكسي A56   جديد  اعلى نسخة بسعة 256 جيجا و128رام  كفالة الوكيل الرسمي بسعر حررررق,243.0,Samsung,جالاكسي A56,256.0,أخضر,جديد,Samsung-Galaxy-A56,
أطلقت شركة  (Tecno) هاتفها الجديد  Spark Go3  رسمياً يتميز الجهاز بتصميم متين يدعم مقاومة السقوط,65.0,Tecno,سبارك,128.0,أسود,جديد,Tecno-Other,
SAMSUNG//A26 5G// كفالة الوكيل الرسمي. بسعر حرق,140.0,Samsung,جالاكسي A26,128.0,أسود,جديد,Samsung-Galaxy-A26,
SAMSUNG A36 5G  كفالة الوكيل الرسمي بسعر حرق,198.0,Samsung,جالاكسي A36,128.0,أسود,جديد,Samsung-Galaxy-A36,
ايفون 14 برو مساحة 512 جيجا لون اسود مميز بطاريات 85-88% اجهزة نظيفة بحالة الجديد ومكفول,369.0,Apple,ايفون 14 برو,512.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
ايفون 14 برو 256 جيجا لون نهدي واسود بطاريات 84-88% اجهزة مستعملة بحالة الجديد نظيف ومكفول,349.0,Apple,ايفون 14 برو,256.0,بنفسجي,مستعمل - ممتاز,Apple-iPhone-14,
ايفون 16 بلس 256 جيجا لون ابيض بطارية 100% مشحون كم مرة فقط مكفول سنة باعتبار جديد نظيف جداً,499.0,Apple,ايفون 16 بلس,256.0,أبيض,جديد,Apple-iPhone-16,
ايفون 16 128 جيجا لون زهري او اسود بطاريات 91-93% مستعملين بحالة الجديد نظاف ومكفولين,439.0,Apple,ايفون 16,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
ايفون 12 برو ماكس 128 جيجا لون رمادي بطارية 87% نظيف جداً بحالة الجديد بسعر مميز ومكفول,288.0,Apple,ايفون 12 برو ماكس,128.0,رمادي,مستعمل - ممتاز,Apple-iPhone-12,
Samsung S26 Ultra 12ram/256GB  جديد، مسكر بالكرتونة – وارد الشرق الأوسط 749JD   كفالة 3 سنوات,749.0,Samsung,جالاكسي S26 الترا,256.0,أسود,جديد,Samsung-Galaxy-S26,
ايفون 13 برو ماكس 256 جيجا بعدة الوان مميزة بطاريات 87-91% اجهزة مستعملة بحالة الجديد نظيفة ومكفولة,388.0,Apple,ايفون 13 برو ماكس,256.0,رمادي,مستعمل - ممتاز,Apple-iPhone-13,
ايفون 13 عادي 128 جيجا جميع الالوان بطاريات 86-89% مستعمل بحالة الجديد نظيف جداً ومكفول,244.0,Apple,ايفون 13,128.0,أبيض,مستعمل - ممتاز,Apple-iPhone-13,
ايفون 15 برو ماكس 256 جيجا لون كحلي او اسود نسبة البطارية 87-91% اجهزة بحالة الجديد نظيف ومكفول,499.0,Apple,ايفون 15 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-15,
ايفون 16 برو ماكس 256 جيجا لون اسود بطاريات 91-96% اجهزة مستعملة بحالة الجديد نظيف ومكفول,619.0,Apple,ايفون 16 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
iPhone 12pro  256g مستعمل بحالة ممتازة,245.0,Apple,ايفون 12 برو,256.0,رمادي,مستعمل - ممتاز,Apple-iPhone-12,
للبيع او البدل نسخة محدودة من جهاز شاومي العملاق s12 ultra 512GB 24GB,360.0,Xiaomi,,512.0,أخضر,مستعمل - ممتاز,Xiaomi-Other,
Samsung Galaxy S25 FE 128GB Black  جديد امريكي بسعر قوي,329.0,Samsung,جالاكسي S25 FE,128.0,أسود,جديد,Samsung-Galaxy-S25,
Samsung Galaxy S25 Ultra 256GB  جديد أمريكي بسعر كسر,619.0,Samsung,جالاكسي S25 الترا,256.0,أسود,جديد,Samsung-Galaxy-S25,
أي فون 13 عادي,260.0,Apple,ايفون 13,128.0,ذهبي وردي,مستعمل - ممتاز,Apple-iPhone-13,
14برو 300غير قابل لتفاوض,300.0,Apple,ايفون 14 برو,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
iPad Pro 13 inch (m5)WiFi,860.0,Apple,ايباد برو 13,256.0,13.3 انش,جديد,Apple-iPhone-13,
iPhone 17e,520.0,Apple,ايفون 17e,256.0,ذهبي وردي,جديد,Apple-iPhone-17,
iPad M5(11inch),740.0,Apple,ايباد,256.0,11 انش,مستعمل - ممتاز,Apple-iPad,
iPad pro M4(13inch),770.0,Apple,ايباد,256.0,13.3 انش,مستعمل - ممتاز,Apple-iPad,
Samsung Galaxy S25 Ultra  1TB - 12G Ram كرتونة بحالة الوكالة  كفالة الوكيل BMS,725.0,Samsung,جالاكسي S25 الترا,1024.0,أبيض,مستعمل - ممتاز,Samsung-Galaxy-S25,
Samsung Z Zola 5 black,400.0,Samsung,جالاكسي Z فولد5,256.0,أسود,مستعمل - ممتاز,Samsung-Other,
Samsungs26ultra,790.0,Samsung,جالاكسي S26 الترا,256.0,أزرق,مستعمل - ممتاز,Samsung-Galaxy-S26,
"OnePlus Open like new, 512 GB, Ram 16 + 4 GB",570.0,OnePlus,,512.0,تركواز,مستعمل - ممتاز,OnePlus-Other,
ايفون 15 عادي وكاله وكاله,365.0,Apple,ايفون 15,128.0,أبيض,مستعمل - ممتاز,Apple-iPhone-15,
هونر (Honor X9D 5G ) بأفضل سعر كفالة الوكيل الرسمي Cell Avuno,225.0,Honor,,256.0,أسود,جديد,Honor-Other,
هونر 600 pro جديد مسكر كفالة الوكيل الرسمي بسعر مميز,520.0,Honor,هونور 200 برو,512.0,برتقالي,جديد,Honor-Other,
هونر 600 جديد كفالة الوكيل الرسمي بسعر مميز جدا,300.0,Honor,هونور 200,256.0,أبيض,جديد,Honor-Other,
هونر 600 lite 5G  جديد مسكر كفالة الوكيل الرسمي بسعر مميز,200.0,Honor,هونور 400 لايت,256.0,أسود,جديد,Honor-Other,
Samsung A07 جديد كفالة الوكيل الرسمي بسعر مميز,65.0,Samsung,جالاكسي A07,128.0,أسود,جديد,Samsung-Galaxy-A07,
iPhone 17 Pro Max 256GB بحالة ممتازه كفالة شغاله بطارية 100 وارد امريكي بسعر ممتاز,879.0,Apple,ايفون 17 برو ماكس,256.0,برتقالي,مستعمل - ممتاز,Apple-iPhone-17,
iPhone 13 Pro Max 256GB بحالة ممتازه كفالة استرداد نقدي الألوان (رمادي.ذهبي)86-90,379.0,Apple,ايفون 13 برو ماكس,256.0,ذهبي,مستعمل - ممتاز,Apple-iPhone-13,
عرض حرق لا يفوت وصل و بقوة مع هدايا VIKUSHA VZ70 مع هدايا خيالية و بسعر مستحيل...,159.0,Vikusha,V-Z70 بلس,256.0,10.9 انش,جديد,Other,
مميز iPhone 13 Pro 256GB 90% كفالة استرداد نقدي بسعر ممتاز جدا,340.0,Apple,ايفون 13 برو,256.0,رمادي,مستعمل - ممتاز,Apple-iPhone-13,
أقوى عرض IPAD APPLE 11 A16(128g)New كفالة 3 سنوات من تاريخ الشراء مع العالمي موبايل,266.0,Apple,,128.0,10.9 انش,جديد,Apple-iPhone-11,
Samsung A56 5G جديد كفالة الوكيل الرسمي بسعر مميز,230.0,Samsung,جالاكسي A56,256.0,أسود,جديد,Samsung-Galaxy-A56,
هاتف سامسونغ s22 الترا بحالة ممتازة,320.0,Samsung,جالاكسي S22 ألترا,512.0,أسود,مستعمل - ممتاز,Samsung-Galaxy-S22,
ايباد الجيل الثامن,70.0,Apple,ايباد 8,32.0,10.2 انش,مستعمل - ممتاز,Apple-iPad,
تلفون ريلمي c75x,140.0,Realme,,256.0,أزرق,جديد,Realme-Other,
هونر ماجيك 8 برو جديد كفاله الوكيل الرسمي بسعر مميز جدا مع بكج,680.0,Honor,هونور 8 برو,512.0,أسود,جديد,Honor-Other,
ريدمي نوت 14 برو بلس 5G للبيع,290.0,Xiaomi,ريدمي نوت 14 برو بلس 5G,512.0,أزرق,مستعمل - ممتاز,Xiaomi-Other,
ايفون 17 pro max مدخل خط بحال الجديد كفالة شغالة,925.0,Apple,ايفون 17 برو ماكس,256.0,برتقالي,مستعمل - ممتاز,Apple-iPhone-17,
ايفون 16 برو وكاله مع كرتونته شرق اوسط مدخل خط تب وكاله ولا خدشة لون مميز,590.0,Apple,ايفون 16 برو,256.0,رمادي,مستعمل - ممتاز,Apple-iPhone-16,
Ipad air7 m3 128,350.0,Apple,,128.0,11 انش,مستعمل - ممتاز,Apple-iPad,
ايفون 16 pro شرق اوسط بحالة الوكاله,560.0,Apple,ايفون 16 برو,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-16,
IPHONE 12 PRO ( 256GB ) USED /// ايفون 12 برو ذاكرة 256 مستعمل وكاله,195.0,Apple,ايفون 12 برو,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-12,
IPHONE 12 PRO MAX ( 256GB ) USED /// آيفون 12 برو ماكس ذاكرة 256 مستعمل وكاله,249.0,Apple,ايفون 12 برو ماكس,256.0,أسود,جديد,Apple-iPhone-12,
ايفون 11 برو ماكس 512جيجا,195.0,Apple,ايفون 11 برو ماكس,512.0,رمادي,مستعمل - ممتاز,Apple-iPhone-11,
IPHONE 11 PRO MAX ( 64GB ) USED /// آيفون  11 برو ماكس ذاكره 64 مستعمل وكاله,165.0,Apple,ايفون 11 برو ماكس,64.0,أسود,مستعمل - ممتاز,Apple-iPhone-11,
IPHONE 11 PRO MAX ( 256GB ) USED /// آيفون 11 برو ماكس ذاكرة 256 مستعمل وكاله,199.0,Apple,ايفون 11 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-11,
ايفون 14 عادي,300.0,Apple,ايفون 14,128.0,زهري,مستعمل - ممتاز,Apple-iPhone-14,
IPHONE 13 ( 256GB ) NEW /// ايفون 13 ذاكرة 256 الجديد,365.0,Apple,ايفون 13,256.0,أسود,جديد,Apple-iPhone-13,
IPHONE 13 PRO ( 128GB ) USED /// ايفون 13 برو ذاكرة 128 مستعمل وكاله,290.0,Apple,ايفون 13 برو,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-13,
ايفون 13 pro وكالة مافي اي خلل,310.0,Apple,ايفون 13 برو,256.0,رمادي,مستعمل - ممتاز,Apple-iPhone-13,
IPHONE 13 ( 128GB ) USED /// ايفون 13 ذاكرة 128 مستعمل وكاله,225.0,Apple,ايفون 13,128.0,أسود,جديد,Apple-iPhone-13,
IPHONE 13 PRO ( 256GB ) USED /// ايفون 13 برو ذاكرة 256 مستعمل وكاله,280.0,Apple,ايفون 13 برو,256.0,أسود,جديد,Apple-iPhone-13,
تلفون ايفون XR,75.0,Apple,ايفون XR,64.0,أبيض,مستعمل - ممتاز,Apple-iPhone-XR,
تكنو كامون بحالة الجديد علفحص,180.0,Tecno,كامون,256.0,رمادي,جديد,Tecno-Other,
ايفون XR ابيض,75.0,Apple,ايفون XR,64.0,أبيض,مستعمل - ممتاز,Apple-iPhone-XR,
ايفون 11 بروماكس للبيع,130.0,Apple,ايفون 11,256.0,رمادي,مستعمل - ممتاز,Apple-iPhone-11,
ايفون  13 برو 1tb,360.0,Apple,ايفون 13,1024.0,رمادي,جديد,Apple-iPhone-13,
redmi note14 pro 5G 12+4GB RAM ROM 256GB  LIKE NEW,160.0,Xiaomi,ريدمي نوت 14 برو 5G,256.0,أسود,مستعمل - ممتاز,Xiaomi-Other,
IPHONE 13 PRO MAX ( 128GB ) USED / ايفون 13 برو ماكس ذاكرة 128 مستعمل وكاله,335.0,Apple,ايفون 13 برو ماكس,128.0,أسود,جديد,Apple-iPhone-13,
samsung S23ultra 256GB 12ram,400.0,Samsung,جالاكسي S23 الترا,256.0,أخضر,مستعمل - ممتاز,Samsung-Galaxy-S23,
بدل ع xr يكون نضيف,80.0,Apple,ايفون 11 برو,64.0,أسود,مستعمل - جيد,Apple-iPhone-XR,
للبيع او للبدل هونو X8c,130.0,Honor,X8 5G هونور,512.0,تركواز,جديد,Honor-Other,
ipad 10 64G ايباد 10 بحاله ممتازه جدا مع كامل اغراضه,220.0,Apple,ايباد 10,64.0,11 انش,مستعمل - ممتاز,Apple-iPhone-10,
تكنو سبارك 30c 5g تلفون توب النضافة 8 رام (4+4) معالج Dimensity 6300 للتواصل على الواتس اب او مكالمة,60.0,Tecno,سبارك,128.0,رمادي,مستعمل - ممتاز,Tecno-Other,
IPhone 11pro للبيع  شبه جديد  150 دينار,150.0,Apple,ايفون 11 برو,64.0,لؤلؤي,مستعمل - ممتاز,Apple-iPhone-11,
سامسج a16 مستعمل 6شهور بحاله ممتازه,65.0,Samsung,جالاكسي A16,128.0,فضي,مستعمل - ممتاز,Samsung-Galaxy-A16,
ايباد برو 11 2020 / Apple iPad pro 2nd Generation,349.0,Apple,ايباد برو,128.0,11 انش,مستعمل - ممتاز,Apple-iPhone-11,
ipad mini 7 (A17 pro) بحالة الجديد تماما بسعر مميز,310.0,Apple,ايباد ميني 6,128.0,8.4 انش,مستعمل - ممتاز,Apple-iPhone-17,
( عرض خاص ) ايفون 11 برو جديد غير مستعمل,189.0,Apple,ايفون 11 برو,64.0,رمادي,جديد,Apple-iPhone-11,
ريدمي نوت 15 5G كفالة الوكيل الرسمي بسعر مميز,180.0,Xiaomi,ريدمي نوت 14 5G,256.0,أسود,جديد,Xiaomi-Other,
آيفون 15عادي 128 اقرأ الوصف,295.0,Apple,ايفون 15,128.0,أسود,مستعمل - جيد,Apple-iPhone-15,
الجهاز ممتاز جدا iPhone 13 Pro Max 128 GB 93٪,345.0,Apple,ايفون 13 برو ماكس,128.0,رمادي,مستعمل - ممتاز,Apple-iPhone-13,
Samsung A36 5G جديد كفالة الوكيل الرسمي BMS بسعر,185.0,Samsung,جالاكسي A36,128.0,أسود,جديد,Samsung-Galaxy-A36,
Samsung S25 ultra 256GB بحالة الجديد بسعر مميز جدا,580.0,Samsung,جالاكسي S25 الترا,256.0,رمادي,مستعمل - ممتاز,Samsung-Galaxy-S25,
honor pad 10,199.0,Honor,,256.0,12 انش,مستعمل - ممتاز,Honor-Other,
ايفن17برو مكس كبي,130.0,Apple,ايفون 17 برو ماكس,2048.0,برتقالي,مستعمل - ممتاز,Apple-iPhone-17,
